college_name,branch,rank
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",67
National Institute of Technology Calicut,"Architecture  (5 Years, Bachelor of Architecture)",86
"National Institute of Technology, Tiruchirappalli","Architecture  (5 Years, Bachelor of Architecture)",94
Indian Institute  of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",118
"School of Planning & Architecture, New Delhi","Architecture  (5 Years, Bachelor of Architecture)",138
National Institute of Technology Calicut,"Architecture  (5 Years, Bachelor of Architecture)",141
Indian Institute  of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",148
National Institute of Technology Calicut,"Architecture  (5 Years, Bachelor of Architecture)",163
Indian Institute  of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",185
"National Institute of Technology, Tiruchirappalli","Architecture  (5 Years, Bachelor of Architecture)",190
Indian Institute  of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",238
"National Institute of Technology, Tiruchirappalli","Architecture  (5 Years, Bachelor of Architecture)",260
Indian Institute  of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",279
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",291
"School of Planning & Architecture, New Delhi","Planning (4 Years, Bachelor of Planning)",330
"School of Planning & Architecture, Bhopal","Architecture  (5 Years, Bachelor of Architecture)",345
National Institute of Technology Calicut,"Architecture  (5 Years, Bachelor of Architecture)",347
Indian Institute  of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",352
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture  (5 Years, Bachelor of Architecture)",363
"National Institute of Technology, Tiruchirappalli","Architecture  (5 Years, Bachelor of Architecture)",367
"National Institute of Technology, Rourkela","Architecture  (5 Years, Bachelor of Architecture)",379
"Visvesvaraya National Institute of Technology, Nagpur","Architecture  (5 Years, Bachelor of Architecture)",396
Indian Institute  of Technology Roorkee,"Computer Science and Engineering (4 Years, Bachelor of Technology)",412
Indian Institute  of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",419
Indian Institute  of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",429
School of Planning & Architecture: Vijayawada,"Architecture  (5 Years, Bachelor of Architecture)",461
Malaviya National Institute of Technology Jaipur,"Architecture  (5 Years, Bachelor of Architecture)",466
Indian Institute  of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",479
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",481
Maulana Azad National Institute of Technology Bhopal,"Planning (4 Years, Bachelor of Planning)",487
"National Institute of Technology, Rourkela","Architecture  (5 Years, Bachelor of Architecture)",490
"National Institute of Technology, Rourkela","Architecture  (5 Years, Bachelor of Architecture)",531
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture  (5 Years, Bachelor of Architecture)",555
Malaviya National Institute of Technology Jaipur,"Architecture  (5 Years, Bachelor of Architecture)",565
Indian Institute  of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",582
"Visvesvaraya National Institute of Technology, Nagpur","Architecture  (5 Years, Bachelor of Architecture)",582
Maulana Azad National Institute of Technology Bhopal,"Planning (4 Years, Bachelor of Planning)",590
Indian Institute  of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",610
Indian Institute  of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",632
Maulana Azad National Institute of Technology Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",638
Indian Institute  of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",654
Indian Institute  of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",674
"Visvesvaraya National Institute of Technology, Nagpur","Architecture  (5 Years, Bachelor of Architecture)",691
Malaviya National Institute of Technology Jaipur,"Architecture  (5 Years, Bachelor of Architecture)",699
Indian Institute  of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",702
Indian Institute  of Technology Roorkee,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",715
National Institute of Technology Raipur,"Architecture  (5 Years, Bachelor of Architecture)",721
Indian Institute  of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",724
"Visvesvaraya National Institute of Technology, Nagpur","Architecture  (5 Years, Bachelor of Architecture)",735
National Institute of Technology Raipur,"Architecture  (5 Years, Bachelor of Architecture)",773
School of Planning & Architecture: Vijayawada,"Planning (4 Years, Bachelor of Planning)",782
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture  (5 Years, Bachelor of Architecture)",798
Indian Institute  of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",815
"School of Planning & Architecture, Bhopal","Planning (4 Years, Bachelor of Planning)",818
Indian Institute  of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",828
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture  (5 Years, Bachelor of Architecture)",838
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",863
Maulana Azad National Institute of Technology Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",905
Indian Institute  of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",926
National Institute of Technology Raipur,"Architecture  (5 Years, Bachelor of Architecture)",932
Indian Institute  of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",964
Indian Institute  of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",981
National Institute of Technology Patna,"Architecture  (5 Years, Bachelor of Architecture)",1007
Indian Institute  of Technology Guwahati,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",1027
"Birla Institute of Technology, Mesra,  Ranchi","Architecture  (5 Years, Bachelor of Architecture)",1039
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",1041
Indian Institute  of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",1060
National Institute of Technology Patna,"Architecture  (5 Years, Bachelor of Architecture)",1065
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1079
Indian Institute  of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",1090
Indian Institute  of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",1098
Indian Institute  of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",1124
Indian Institute  of Technology Roorkee,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1165
Indian Institute  of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",1198
Indian Institute  of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",1205
"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir","Architecture  (5 Years, Bachelor of Architecture)",1245
Indian Institute  of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",1255
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",1286
"Mizoram University, Aizawl","Architecture  (5 Years, Bachelor of Architecture)",1299
Indian Institute  of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1300
Indian Institute  of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1346
Indian Institute  of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",1349
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1366
Indian Institute  of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1385
Maulana Azad National Institute of Technology Bhopal,"Planning (4 Years, Bachelor of Planning)",1394
Indian Institute  of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",1416
